NCBI_ID	Parent_NCBI_ID	Organism_Name	Level	Lineage
2292049	133925	Olsenella sp. AM04-33	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Atopobiaceae: 1643824;Olsenella: 133925;
2292050	133925	Olsenella sp. AM05-17	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Atopobiaceae: 1643824;Olsenella: 133925;
2292051	133925	Olsenella sp. AM05-7	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Atopobiaceae: 1643824;Olsenella: 133925;
2292052	375288	Parabacteroides sp. AF48-14	species	cellular organisms: 131567;Bacteria: 2;FCB group: 1783270;Bacteroidetes: 976;Bacteroidia: 200643;Bacteroidales: 171549;Tannerellaceae: 2005525;Parabacteroides: 375288;
2292053	375288	Parabacteroides sp. AM08-6	species	cellular organisms: 131567;Bacteria: 2;FCB group: 1783270;Bacteroidetes: 976;Bacteroidia: 200643;Bacteroidales: 171549;Tannerellaceae: 2005525;Parabacteroides: 375288;
2292054	838	Prevotella sp. AM23-5	species	cellular organisms: 131567;Bacteria: 2;FCB group: 1783270;Bacteroidetes: 976;Bacteroidia: 200643;Bacteroidales: 171549;Prevotellaceae: 171552;Prevotella: 838;
2292065	841	Roseburia sp. AM16-25	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Lachnospiraceae: 186803;Roseburia: 841;
2292066	841	Roseburia sp. AM23-20	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Lachnospiraceae: 186803;Roseburia: 841;
2292067	1263	Ruminococcus sp. AF31-16BH	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;Ruminococcus: 1263;
2292068	1263	Ruminococcus sp. AF37-6AT	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;Ruminococcus: 1263;
2292069	1263	Ruminococcus sp. AF41-9	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;Ruminococcus: 1263;
2292070	1263	Ruminococcus sp. AF42-9BH	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;Ruminococcus: 1263;
2292071	1263	Ruminococcus sp. AF45-4BH	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;Ruminococcus: 1263;
2292072	1263	Ruminococcus sp. AF46-10NS	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;Ruminococcus: 1263;
2292073	1263	Ruminococcus sp. AM07-21	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;Ruminococcus: 1263;
2292074	1263	Ruminococcus sp. AM22-13	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;Ruminococcus: 1263;
2292075	40544	Sutterella sp. AM11-39	species	cellular organisms: 131567;Bacteria: 2;Proteobacteria: 1224;Betaproteobacteria: 28216;Burkholderiales: 80840;Sutterellaceae: 995019;Sutterella: 40544;
2292076	40544	Sutterella sp. AM18-8-1	species	cellular organisms: 131567;Bacteria: 2;Proteobacteria: 1224;Betaproteobacteria: 28216;Burkholderiales: 80840;Sutterellaceae: 995019;Sutterella: 40544;
2292077	2737	Vagococcus sp. AM17-17	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Enterococcaceae: 81852;Vagococcus: 2737;
2292078	29465	Veillonella sp. AF42-16	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Negativicutes: 909932;Veillonellales: 1843489;Veillonellaceae: 31977;Veillonella: 29465;
2292179	189971	Clostridiaceae bacterium AF29-16BH	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Clostridiaceae: 31979;unclassified Clostridiaceae: 189971;
2292180	552397	Ruminococcaceae bacterium AF10-16	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;unclassified Ruminococcaceae: 552397;
2292181	33974	Firmicutes bacterium AF25-13AC	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;unclassified Firmicutes sensu stricto: 33974;
2292182	189971	Clostridiaceae bacterium AF18-31LB	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Clostridiaceae: 31979;unclassified Clostridiaceae: 189971;
